column,dtype,missing_count,missing_pct,n_unique
trans_date_trans_time,str,0,0.0,1819551
cc_num,int64,0,0.0,999
merchant,str,0,0.0,693
category,str,0,0.0,14
amt,float64,0,0.0,60616
first,str,0,0.0,355
last,str,0,0.0,486
gender,str,0,0.0,2
street,str,0,0.0,999
city,str,0,0.0,906
state,str,0,0.0,51
zip,int64,0,0.0,985
lat,float64,0,0.0,983
long,float64,0,0.0,983
city_pop,int64,0,0.0,891
job,str,0,0.0,497
dob,str,0,0.0,984
trans_num,str,0,0.0,1852394
unix_time,int64,0,0.0,1819583
merch_lat,float64,0,0.0,1754157
merch_long,float64,0,0.0,1809753
is_fraud,int64,0,0.0,2
